#,单词,音标,解释,笔记,选中次数,正确次数,是否训练
450,artificial,英:/ˌɑːtɪˈfɪʃl/ 美:/ˌɑːrtɪˈfɪʃl/,adj. 人造的；虚伪的；武断的,,1,1,1
451,artist,英:/'ɑːtɪst/ 美:/'ɑrtɪst/,n. 艺术家；美术家（尤指画家）；大师,,0,0,1
452,artistic,英:/ɑːˈtɪstɪk/ 美:/ɑːrˈtɪstɪk/,adj. 艺术的；有美感的；风雅的,,0,0,1
453,as,英:/æz/ 美:/æz/,conj. 因为；依照；当…时；随着；虽然 prep. 当作；以…的身份；如同,,0,0,1
454,ascend,英:/əˈsend/ 美:/əˈsend/,vi. 上升；登高；追溯 vt. 攀登，上升,,0,0,1
455,ascertain,英:/ˌæsəˈteɪn/ 美:/ˌæsərˈteɪn/,"vt. 弄清, 确定, 查明",,0,0,1
456,ascribe,英:/əˈskraɪb/ 美:/əˈskraɪb/,vt. 归因于；归咎于,,0,0,1
457,ASEAN,/'ɑ:si:ɔn/,东盟,,0,0,1
458,ash,英:/æʃ/ 美:/æʃ/,n. 灰；灰烬,,0,0,1
459,ashamed,英:/əˈʃeɪmd/ 美:/əˈʃeɪmd/,adj. 惭愧的，感到难为情的；耻于……的,,0,0,1
460,ashore,英:/əˈʃɔː(r)/ 美:/əˈʃɔːr/,adv. 在岸上；向岸 adj. 在岸上的；在陆上的,,0,0,1
461,ashtray,英:/'æʃtreɪ/ 美:/'æʃtre/,n. 烟灰缸,,0,0,1
462,Asia,英:/ˈeɪʃə/ 美:/ˈeɪʒə/,n. 亚洲,,0,0,1
463,Asian,英:/ˈeɪʒn/ 美:/ˈeɪʒn/,adj. 亚洲的；亚洲人的 n. 亚洲人,,0,0,1
464,aside,英:/əˈsaɪd/ 美:/əˈsaɪd/,adv. 在旁边；离开，撇开 n. 旁白；私语，悄悄话；离题的话,,0,0,1
465,ask,英:/ɑːsk/ 美:/æsk/,vt. 问，询问；邀请；要求；需要；讨价 vi. 要求；问，询问,,0,0,1
466,asleep,英:/ə'sliːp/ 美:/ə'slip/,adj. 睡着的；麻木的；长眠的 adv. 进入睡眠状态；熟睡地,,0,0,1
467,aspect,英:/ˈæspekt/ 美:/ˈæspekt/,n. 方面；外貌；形势；方向,,0,0,1
468,aspirin,英:/'æsp(ə)rɪn/ 美:/'æsprɪn/,n. 阿司匹林（解热镇痛药）,,0,0,1
469,ass,英:/æs/ 美:/æs/,n. 驴子；屁股；蠢人,,0,0,1
470,assassinate,英:/əˈsæsɪneɪt/ 美:/əˈsæsɪneɪt/,v. 暗杀，行刺,,0,0,1
471,assassination,"/ə,sæsi'neiʃən/",n. 暗杀,,0,0,1
472,assassinator,/əsæsi'neitə/,n. 刺客(尤指刺杀政治要人者),,0,0,1
473,assault,英:/əˈsɔːlt/ 美:/əˈsɔːlt/,n. 攻击；袭击 vt. 袭击；攻击,,0,0,1
474,assemble,英:/əˈsembl/ 美:/əˈsembl/,vt. 集合，聚集；装配；收集 vi. 集合，聚集,,0,0,1
475,assembly,英:/əˈsembli/ 美:/əˈsembli/,n. 集会；集合；议会；装配；与会者；聚集在一起的人；[计]汇编,组装,0,0,1
476,assert,英:/əˈsɜːt/ 美:/əˈsɜːrt/,vt. 断言；主张；声称；维护，坚持,,0,0,1
477,assertion,英:/əˈsɜːʃn/ 美:/əˈsɜːrʃn/,"n. (权利等的)主张,维护;(意见等的)坚持 强硬陈词;断言",,0,0,1
478,assess,英:/əˈses/ 美:/əˈses/,vt. 评定；估价；对…征税,,0,0,1
479,assessment,英:/əˈsesmənt/ 美:/əˈsesmənt/,"n. (为征税对财产所作的)估价 评估,评定 评价,看法 核定的付款额",,0,0,1
480,assign,英:/əˈsaɪn/ 美:/əˈsaɪn/,vt. 分配；指派；赋值 vi. 将财产过户（尤指过户给债权人）,,0,0,1
481,assignment,英:/əˈsaɪnmənt/ 美:/əˈsaɪnmənt/,n. 分配；任务；功课；委派；被指定的(课外)作业;(分派的)任务,,0,0,1
482,assist,英:/əˈsɪst/ 美:/əˈsɪst/,v. 帮助；协助；援助；促进 n.（曲棍球等）助攻；（棒球等）助杀,,0,0,1
483,assistance,英:/əˈsɪstəns/ 美:/əˈsɪstəns/,n. 援助，帮助；辅助设备,,0,0,1
484,assistant,英:/əˈsɪstənt/ 美:/əˈsɪstənt/,"n. 助手, 副手, 助理; 助教",,0,0,1
485,associate,英:/əˈsəʊsieɪt，əˈsəʊʃieɪt/ 美:/əˈsəʊsieɪt，əˈsəʊʃieɪt/,v. 联想；联系；与…为伍；与…交往；与…厮混；表明支持；表示同意 adj.（常用于头衔）非正式的；准的；副的；联合的；有关联的 n. 同事；伙伴；合伙人；【美式】准学士（获得两年制高校学位）,副的,0,0,1
486,associated,英:/əˈsəʊsieɪtɪd/ 美:/əˈsoʊsieɪtɪd/,"adj. 联合的,关联的",,0,0,1
487,association,英:/əˌsəʊsiˈeɪʃn/ 美:/əˌsoʊsiˈeɪʃn/,n. 协会；社团；交往；联想；联合；结合,,0,0,1
488,associative,英:/ə'səʊʃɪətɪv/ 美:/ə'soʃɪətɪv/,"adj. 联合的,联想的,结合的",,0,0,1
489,assorted,英:/əˈsɔːtɪd/ 美:/əˈsɔːrtɪd/,adj. 混杂的；各种各样的；组合的 v. 把…分等级；把…归为一类（assort的过去分词）,,0,0,1
490,assortment,英:/əˈsɔːtmənt/ 美:/əˈsɔːrtmənt/,n. 分类；各类物品或同类各种物品的聚集；混合物,,0,0,1
491,assume,英:/əˈsjuːm/ 美:/əˈsuːm/,vt. 假定；承担；呈现；采取 vi. 装腔作势；多管闲事,,0,0,1
492,assumption,英:/əˈsʌmpʃn/ 美:/əˈsʌmpʃn/,"n. 假定, 臆断",,1,1,1
493,assurance,英:/əˈʃʊərəns/ 美:/əˈʃʊrəns/,n. 保证，担保；确信；自信；保险,,0,0,1
494,assure,英:/əˈʃʊə(r)/ 美:/əˈʃʊr/,vt. 保证；担保；使确信；弄清楚,,0,0,1
495,assured,英:/ə'ʃʊəd/ 美:/ə'ʃʊrd/,adj. 确定的；自信的 n. 被保险人,,0,0,1
496,astonish,英:/əˈstɒnɪʃ/ 美:/əˈstɑːnɪʃ/,vt. 使惊讶,,0,0,1
497,astonishment,英:/əˈstɒnɪʃmənt/ 美:/əˈstɑːnɪʃmənt/,"n. 惊讶, 惊奇 令人惊讶的事物或人",,0,0,1
498,astound,英:/əˈstaʊnd/ 美:/əˈstaʊnd/,vt. 使惊骇；使震惊,,0,0,1
499,astray,英:/əˈstreɪ/ 美:/əˈstreɪ/,adv. 迷途地 adj. 迷途的；误入歧途的,,0,0,1
500,astronaut,英:/ˈæstrənɔːt/ 美:/ˈæstrənɔːt/,n. 宇航员,,0,0,1
501,astronomer,英:/ə'strɒnəmə/ 美:/ə'strɑnəmɚ/,n. 天文学家,,0,0,1
502,astronomical,英:/ˌæstrəˈnɒmɪkl/ 美:/ˌæstrəˈnɑːmɪkl/,"adj. 天文学的,天体的 极大的",,0,0,1
503,astronomy,英:/əˈstrɒnəmi/ 美:/əˈstrɑːnəmi/,n. 天文学,,0,0,1
504,at,英:/æt/ 美:/ət/,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）,,0,0,1
505,athlete,英:/ˈæθliːt/ 美:/ˈæθliːt/,n. 运动员，体育家；身强力壮的人,,0,0,1
506,athletic,英:/æθˈletɪk/ 美:/æθˈletɪk/,adj. 运动的，运动员的；体格健壮的,,0,0,1
507,Atlantic,英:/æt'læntɪk/ 美:/ət'læntɪk/,n. 大西洋 adj. 大西洋的,,0,0,1
508,atlas,英:/ˈætləs/ 美:/ˈætləs/,n. 地图集,,0,0,1
509,atmosphere,英:/ˈætməsfɪə(r)/ 美:/ˈætməsfɪr/,n. 大气；空气；气氛；气压,,0,0,1
510,atmospheric,英:/ˌætməsˈferɪk/ 美:/ˌætməsˈferɪk/,adj. 大气的；大气层的；制造气氛的,,0,0,1
511,atom,英:/ˈætəm/ 美:/ˈætəm/,n. 原子,,0,0,1
512,atomic,英:/əˈtɒmɪk/ 美:/əˈtɑːmɪk/,adj. 原子的，原子能的；微粒子的,,0,0,1
513,attach,英:/əˈtætʃ/ 美:/əˈtætʃ/,v. 系，绑；连接；使附着；附上；固定；把…作为电子邮件的附件,,0,0,1
514,attachment,英:/əˈtætʃmənt/ 美:/əˈtætʃmənt/,n. 附件；附属物；忠诚；依恋；附著；依赖 n. [法律]扣押令,,0,0,1
515,attack,英:/əˈtæk/ 美:/əˈtæk/,n. 攻击；抨击；疾病发作 vt. 抨击；攻击；动手干,,0,0,1
516,attain,英:/əˈteɪn/ 美:/əˈteɪn/,vt. 达到，实现；获得；到达 vi. 达到；获得；到达,,0,0,1
517,attempt,英:/əˈtempt/ 美:/əˈtempt/,n. 企图，试图；攻击 vt. 企图，试图；尝试,,0,0,1
518,attend,英:/əˈtend/ 美:/əˈtend/,vt. 出席；上（大学等）；照料；招待；陪伴 vi. 出席；照料；照顾；致力于,,0,0,1
519,attendance,英:/əˈtendəns/ 美:/əˈtendəns/,n. 出席；出席人数；出席率,,0,0,1
520,attendant,英:/əˈtendənt/ 美:/əˈtendənt/,adj. 伴随的 n. 服务员；出席者；伴随物；侍从,,0,0,1
521,attention,英:/ə'tenʃ(ə)n/ 美:/ə'tɛnʃən/,"n. 注意, 专心, 留心 殷勤, 厚待",,0,0,1
522,attentive,英:/əˈtentɪv/ 美:/əˈtentɪv/,adj. 对某人〔物〕 注意的;留心的;警惕的 殷勤的;体贴的 彬彬有礼的,,0,0,1
523,attentively,英:/ə'tentivli/ 美:/əˈt ɛntɪvlɪ/,adv. 聚精会神地 周到地,,0,0,1
524,attic,英:/ˈætɪk/ 美:/ˈætɪk/,n. 阁楼；顶楼；[解剖学]鼓室上的隐窝,,0,0,1
525,attitude,英:/ˈætɪtjuːd/ 美:/ˈætɪtuːd/,n. 态度；姿势；看法；意见,,0,0,1
526,attorney,英:/əˈtɜːni/ 美:/əˈtɜːrni/,n. 代理人；律师,,0,0,1
527,attract,英:/əˈtrækt/ 美:/əˈtrækt/,vt. 吸引；引起 vi. 吸引；有吸引力,,0,0,1
528,attraction,英:/əˈtrækʃn/ 美:/əˈtrækʃn/,n. 吸引；吸引力；有吸引力的人或事物,,0,0,1
529,attributable,英:/əˈtrɪbjətəbl/ 美:/əˈtrɪbjətəbl/,adj.  可归因于 ... 的,,0,0,1
530,attribute,"英:/əˈtrɪbjuːt , ˈætrɪbjuːt/ 美:/əˈtrɪbjuːt , ˈætrɪbjuːt/",v. 把…归因于；认为…是由于 n. 特性；特质；属性,,0,0,1
531,attribution,英:/ˌætri'bju:ʃən/ 美:/ˌætrəˈbjuʃən/,n. 【U】归因；归属；属性,,0,0,1
532,attributive,英:/ə'trɪbjʊtɪv/ 美:/ə'trɪbjətɪv/,adj. 属性的 (指形容词或名词)用作定语的 n. 定语,,0,0,1
533,auction,英:/ˈɔːkʃn/ 美:/ˈɔːkʃn/,vt. 拍卖；竞卖 n. 拍卖,,0,0,1
534,audience,英:/ˈɔːdiəns/ 美:/ˈɔːdiəns/,n. 观众；听众；接见；读者,,0,0,1
535,auditorium,英:/ˌɔːdɪˈtɔːriəm/ 美:/ˌɔːdɪˈtɔːriəm/,"n. 观众席, 听众席 礼堂, 会堂",,0,0,1
536,August,英:/ɔːˈɡʌst/ 美:/ɔːˈɡʌst/,n. 八月（简写为Aug）；adj. 威严的；令人敬畏的,,0,0,1
537,aunt,英:/ɑːnt/ 美:/ænt/,n. 伯母；阿姨；舅妈；姑妈,,0,0,1
538,aural,英:/ˈɔːrəl/ 美:/ˈɔːrəl/,adj. 耳的；听觉的；气味的；先兆的,,0,0,1
539,auspice,英:/'ɔːspɪs/ 美:/'ɔspɪs/,n. 赞助，主办；吉兆,,0,0,1
540,Australia,/ɔ'streiljə/,n. 澳大利亚,,0,0,1
541,Australian,英:/ɔ:ˈstreɪljən/ 美:/ɔˈstreljən/,adj. 澳大利亚的 n. 澳大利亚人,,0,0,1
542,author,英:/ˈɔːθə(r)/ 美:/ˈɔːθər/,n. 作者；作家；创始人 vt. 创作出版,,0,0,1
543,authority,英:/ɔːˈθɒrəti/ 美:/əˈθɔːrəti/,n. 威信，权力；管辖权；当局，官方；当权者；权威人士，专家，泰斗,,0,0,1
544,authorization,英:/ˌɔːθəraɪˈzeɪʃn/ 美:/ˌɔːθərəˈzeɪʃn/,"n. 授权,批准 批准(或授权)的证书",,0,0,1
545,authorize,英:/ˈɔːθəraɪz/ 美:/ˈɔːθəraɪz/,"vt. 授权, 批准; 委托",,0,0,1
546,autobiography,英:/ˌɔːtəbaɪˈɒɡrəfi/ 美:/ˌɔːtəbaɪˈɑːɡrəfi/,n. 自传,,0,0,1
547,automate,英:/ˈɔːtəmeɪt/ 美:/ˈɔːtəmeɪt/,vt. 使自动化，使自动操作 vi. 自动化，自动操作,,0,0,1
548,automatic,英:/ˌɔːtəˈmætɪk/ 美:/ˌɔːtəˈmætɪk/,adj. 自动的；无意识的；必然的 n. 自动装置；半自动武器,,0,0,1
549,automation,英:/ˌɔːtəˈmeɪʃn/ 美:/ˌɔːtəˈmeɪʃn/,n. 自动化,,0,0,1
550,automobile,英:/ˈɔːtəməbiːl/ 美:/ˈɔːtəməbiːl/,n. 〈美〉汽车,,0,0,1
551,autonomous,英:/ɔːˈtɒnəməs/ 美:/ɔːˈtɑːnəməs/,adj.自治的,,0,0,1
552,autonomy,英:/ɔːˈtɒnəmi/ 美:/ɔːˈtɑːnəmi/,n. 自治，自治权,,0,0,1
553,autumn,英:/'ɔːtəm/ 美:/'ɔtəm/,n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的,,0,0,1
554,auxiliary,英:/ɔːɡˈzɪliəri/ 美:/ɔːɡˈzɪliəri/,n. 助动词；辅助物；帮助者 adj. 辅助的；附加的,,0,0,1
555,avail,英:/əˈveɪl/ 美:/əˈveɪl/,vi. 有用，有利 vt. 有利，有用,,0,0,1
556,availability,英:/əˌveɪləˈbɪləti/ 美:/əˌveɪləˈbɪləti/,n. 有效;有益;可利用性 可得到的东西(或人);可得性,,0,0,1
557,available,英:/əˈveɪləbl/ 美:/əˈveɪləbl/,adj. 可利用的；可得到的；有空的；有效的；【政】有资格的，适合的,,0,0,1
558,avenge,英:/əˈvendʒ/ 美:/əˈvendʒ/,vt. 替…报仇 vi. 报复，报仇,,0,0,1
559,avenue,英:/ˈævənjuː/ 美:/ˈævənuː/,n. 林荫大道；大街,,0,0,1
560,average,英:/ˈævərɪdʒ/ 美:/ˈævərɪdʒ/,n. 平均；平均数；[商]海损 adj. 平均的；普通的,,0,0,1
561,averagely,/'ævərɪdʒli/,adv. 平均地,,0,0,1
562,aviation,英:/ˌeɪviˈeɪʃn/ 美:/ˌeɪviˈeɪʃn/,n. 航空；飞行术；飞机制造业,,0,0,1
563,avoid,英:/əˈvɔɪd/ 美:/əˈvɔɪd/,vt. 避免；避开，躲避；消除,,0,0,1
564,await,英:/əˈweɪt/ 美:/əˈweɪt/,vt. 等候，等待；期待,,0,0,1
565,awake,英:/ə'weɪk/ 美:/ə'wek/,vi. 觉醒，意识到；醒来；被唤起 vt. 唤醒；激起，唤起；使觉醒,,0,0,1
566,awaken,英:/ə'weɪk(ə)n/ 美:/ə'wekən/,vt. 唤起；唤醒；使…意识到 vi. 觉醒；醒来；意识到,,0,0,1
567,award,英:/əˈwɔːd/ 美:/əˈwɔːrd/,vt. 授予；判定 n. 奖品；判决,,0,0,1
568,aware,英:/əˈweə(r)/ 美:/əˈwer/,adj. 知道的；意识到的；有…方面知识的；懂世故的,,0,0,1
569,away,英:/ə'weɪ/ 美:/ə'we/,adv. 离去，离开；在远处,,0,0,1
570,awe,英:/ɔː/ 美:/ɔː/,vt. 使敬畏；使畏怯 n. 敬畏,,0,0,1
571,awesome,英:/ˈɔːsəm/ 美:/ˈɑːsəm/,adj. 令人敬畏的；令人惊叹的；很好的,,0,0,1
572,awful,英:/'ɔːfʊl/ 美:/'ɔfl/,a.可怕的，庄严的,,0,0,1
573,awfully,英:/'ɔːfʊlɪ/ 美:/'ɔfli/,adv. 可怕地；十分；非常；很,,0,0,1
574,awkward,英:/ˈɔːkwəd/ 美:/ˈɔːkwərd/,adj. 笨拙的；尴尬的；棘手的；不合适的,,0,0,1
575,awkwardly,英:/'ɔ:kwə:dli/ 美:/ˈ ɔk wə..dlɪ/,adv. 别扭地；拘谨地；尴尬地；笨拙地,,0,0,1
576,awkwardness,英:/'ɔ:kwədnis/ 美:/ˈ ɔk wɚdnɪs/,n. 笨拙,,0,0,1
577,ax,英:/æks/ 美:/æks/,vt. 削减；用斧修整；解雇 n. 斧头,,0,0,1
578,axial,英:/'æksɪəl/ 美:/'æksɪəl/,adj. 轴的；轴向的,,0,0,1
579,axis,英:/ˈæksɪs/ 美:/ˈæksɪs/,n. 轴；轴线；轴心国,,0,0,1
580,axle,英:/'æks(ə)l/ 美:/'æksl/,n. 车轴；轮轴,,0,0,1
581,B.C.,/ˌbi 'si        /,abbr.  公元前…年;  化学学士;  商学士  B.c.adj. 公元前,,0,0,1
582,b/l,,,,0,0,1
583,baby,英:/'beɪbɪ/ 美:/'bebi/,n. 婴儿，婴孩；孩子气的人 vt. 纵容，娇纵；把……当婴儿般对待,,0,0,1
584,baby-sit,"英:/'beibi,sit/ 美:/ˈbebɪˌsɪt/",vi. 当临时保姆,,0,0,1
585,baby-sitter,"/'beibi,sitə/",n. 代人临时照看婴孩者,,0,0,1
586,bachelor,英:/ˈbætʃələ(r)/ 美:/ˈbætʃələr/,n. 单身汉；学士；（尚未交配的）小雄兽,,0,0,1
587,back,英:/bæk/ 美:/bæk/,n. 背部；后面；靠背；足球等的后卫；书报等的末尾 vt. 支持；后退；下赌注；背书,,0,0,1
588,backbone,英:/'bækbəʊn/ 美:/'bæk'bon/,n. 决心，毅力；支柱；脊椎；[计]主干网,,0,0,1
589,back-call,,n. (推销员对顾客的)第二次访问,,0,0,1
590,backdate,英:/bæk'deɪt/ 美:/'bæk'det/,vt. 回溯，追溯；倒填日期,,0,0,1
591,background,英:/ˈbækɡraʊnd/ 美:/ˈbækɡraʊnd/,"n. (画等的)背景, 底色 背景情况 个人背景资料",,0,0,1
592,backing,英:/'bækɪŋ/ 美:/'bækɪŋ/,n. 后退；支持；支持者；衬背 v. 支持（back的ing形式）,,0,0,1
593,backlog,英:/'bæklɒg/ 美:/'bæklɔɡ/,n. 积压的工作；积压待办的事务；大木材 vt. 把…积压起来；储备,,0,0,1
594,backward,英:/ˈbækwəd/ 美:/ˈbækwərd/,adj. 向后的；反向的；发展迟缓的 adv. 相反地；向后地,,0,0,1
595,backwardness,/'bækwədnis/,n. 智力迟钝；落后状态,,0,0,1
596,bacon,英:/ˈbeɪkən/ 美:/ˈbeɪkən/,n. 熏猪肉；咸肉；腌肉,,0,0,1
597,bacterium,英:/bækˈtɪəriəm/ 美:/bækˈtɪriəm/,n. 细菌,,0,0,1
598,bad,英:/bæd/ 美:/bæd/,adj. 坏的；严重的；劣质的 n. 坏人；坏事,,0,0,1
599,badge,英:/bædʒ/ 美:/bædʒ/,n. 徽章；标记；证章 vt. 授给…徽章,,0,0,1
600,badly,英:/ˈbædli/ 美:/ˈbædli/,adv. 严重地，厉害地；恶劣地；非常，很,,0,0,1
601,badminton,英:/ˈbædmɪntən/ 美:/ˈbædmɪntən/,n. 羽毛球,,0,0,1
602,baffle,英:/ˈbæfl/ 美:/ˈbæfl/,vt. 使…困惑；使…受挫折；用挡板控制 n. 挡板；困惑,,0,0,1
603,bag,英:/bæg/ 美:/bæɡ/,n. 袋；猎获物；（俚）一瓶啤酒 vt. 猎获；把…装入袋中；[口]占据，私吞；使膨大,,0,0,1
604,baggage,英:/ˈbæɡɪdʒ/ 美:/ˈbæɡɪdʒ/,n. 辎重（军队的）；行李,,0,0,1
605,baggy,英:/'bægɪ/ 美:/'bæɡi/,adj. 袋状的，膨胀的；宽松而下垂的,,0,0,1
606,bail out,,,保释; 救助,0,0,1
607,bait,英:/beɪt/ 美:/beɪt/,vt. 引诱；在…中放诱饵；折磨 n. 饵；诱饵,,0,0,1
608,bake,英:/beɪk/ 美:/beɪk/,"vt. & vi. 烤, 烘焙",,1,0,1
609,baker,英:/ˈbeɪkə(r)/ 美:/ˈbeɪkər/,n. 面包师；面包工人；（便携式）烘炉,,0,0,1
610,bakery,英:/ˈbeɪkəri/ 美:/ˈbeɪkəri/,n. 面包店,,0,0,1
611,balance,英:/ˈbæləns/ 美:/ˈbæləns/,n. 平衡；匀称；余额 vt. 使平衡；结算；使相称,,0,0,1
612,balcony,英:/ˈbælkəni/ 美:/ˈbælkəni/,n. 阳台；包厢；戏院楼厅,,0,0,1
613,bald,英:/bɔːld/ 美:/bɔːld/,adj. 秃顶的；单调的；光秃的；无装饰的 vi. 变秃,,0,0,1
614,ball,英:/bɔ:l/ 美:/bɔl/,n. 球；舞会 vi. 成团块,,0,0,1
615,ballet,英:/ˈbæleɪ/ 美:/bæˈleɪ/,n. 芭蕾舞剧；芭蕾舞乐曲,,0,0,1
616,balloon,英:/bə'luːn/ 美:/bə'lun/,vi. 激增；膨胀如气球 n. 气球,,0,0,1
617,ballooning,英:/bə'luːnɪŋ/ 美:/bə'lʊnɪŋ/,n. （气球的）操纵；热气球飞行,,0,0,1
618,ball-pointpen,,,,0,0,1
619,ballroom,英:/'bɔːlruːm/ 美:/'bɔl'rʊm/,n. 舞厅；跳舞场,,0,0,1
620,bamboo,英:/bæm'buː/ 美:/ˌbæm'bu/,n. 竹，竹子 vt. 为…装上篾条,,0,0,1
621,bamboo-shoot,,,,0,0,1
622,banana,英:/bə'nɑːnə/ 美:/bə'nænə/,n. 香蕉；喜剧演员；大鹰钩鼻,,0,0,1
623,band,英:/bænd/ 美:/bænd/,n. 带；松紧带；传送带；乐队；一帮 vi. 联合；聚焦,,0,0,1
624,bandage,英:/ˈbændɪdʒ/ 美:/ˈbændɪdʒ/,n. 绷带 vt. 用绷带包扎,,0,0,1
625,bandit,英:/'bændɪt/ 美:/'bændɪt/,n. 强盗；土匪,,0,0,1
626,bang,英:/bæŋ/ 美:/bæŋ/,n. 巨响；重击；刘海 v. 重击；大声敲；剪成刘海；突然巨响 adv. 正好地；准确地,,0,0,1
627,banish,英:/ˈbænɪʃ/ 美:/ˈbænɪʃ/,vt. 放逐；驱逐,,0,0,1
628,bank,英:/bæŋk/ 美:/bæŋk/,n. 银行；岸；储库；浅滩 vt. 将…存入银行；倾斜转弯,,1,1,1
629,banker,英:/ˈbæŋkə(r)/ 美:/ˈbæŋkər/,n. 银行家；银行业者；掘土工,,0,0,1
630,banking,英:/ˈbæŋkɪŋ/ 美:/ˈbæŋkɪŋ/,n. 银行业；银行业务；银行家的职业；筑堤 v. 把钱存入银行；做银行家；在…边筑堤（bank的现在分词）,,0,0,1
631,bankrupt,英:/ˈbæŋkrʌpt/ 美:/ˈbæŋkrʌpt/,adj. 破产的 vt. 使破产,,0,0,1
632,banner,英:/ˈbænə(r)/ 美:/ˈbænər/,n. 旗帜，横幅；标语,,0,0,1
633,banquet,英:/ˈbæŋkwɪt/ 美:/ˈbæŋkwɪt/,n. 宴会，盛宴；宴请，款待 vt. 宴请，设宴款待,,0,0,1
634,bar,英:/bɑː(r)/ 美:/bɑːr/,n. 酒吧；铁栅栏；条状物；阻碍某事发生或发展的东西 v. 阻挡，阻挠；防止，禁止,,0,0,1
635,barber,英:/ˈbɑːbə(r)/ 美:/ˈbɑːrbər/,vt. 为…理发；修整 n. 理发师,,0,0,1
636,bare,英:/beə(r)/ 美:/ber/,adj. 空的；赤裸的，无遮蔽的 vt. 露出，使赤裸,,0,0,1
637,barely,英:/ˈbeəli/ 美:/ˈberli/,adv. 仅仅，勉强；几乎不；公开地；贫乏地,,2,1,1
638,bargain,英:/ˈbɑːɡən/ 美:/ˈbɑːrɡən/,n. 交易；契约；特价商品 vi. 讨价还价；成交,,0,0,1
639,barge,英:/bɑːdʒ/ 美:/bɑːrdʒ/,"n. 驳船 vi. (鲁莽而笨拙地)猛撞, 冲, 闯",,0,0,1
640,bark,英:/bɑːk/ 美:/bɑːrk/,vt. 咆哮；吠叫；[口]咳嗽 vi. 厉声说出；高声叫卖,树皮,0,0,1
641,barn,英:/bɑːn/ 美:/bɑːrn/,n. 谷仓；车库；畜棚；靶（核反应截面单位） vt. 把…贮存入仓,,0,0,1
642,barometer,英:/bəˈrɒmɪtə(r)/ 美:/bəˈrɑːmɪtər/,"n. 气压计, 晴雨表",,0,0,1
643,baron,英:/'bær(ə)n/ 美:/'bærən/,n. 男爵；大亨；巨头,,0,0,1
644,baroness,英:/'bær(ə)nɪs/ 美:/ˌbærə'nɛs/,n. 男爵夫人；女男爵；（欧洲某些国家）男爵之女,,0,0,1
645,barrel,英:/ˈbærəl/ 美:/ˈbærəl/,n. 桶；枪管；一桶的量；炮管；大量；笔管；汽油桶 vi. 快速移动 vt. 把 ... 装桶,,0,0,1
646,barren,英:/ˈbærən/ 美:/ˈbærən/,adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的 n. 荒地,,0,0,1
647,barrier,英:/ˈbæriə(r)/ 美:/ˈbæriər/,n. 障碍物，屏障；界线 vt. 把…关入栅栏,,1,1,1
648,barter,英:/ˈbɑːtə(r)/ 美:/ˈbɑːrtər/,vi. 进行易货贸易；作物物交换；讨价还价 vt. 以…作为交换；拿…进行易货贸易,,0,0,1
649,base,英:/beɪs/ 美:/beɪs/,n. 底部；垒；基础 adj. 卑鄙的；低劣的,,0,0,1
650,baseball,英:/ˈbeisbɔ:l/ 美:/'besbɔl/,n. 棒球运动；棒球,,0,0,1
651,basement,英:/ˈbeɪsmənt/ 美:/ˈbeɪsmənt/,n. 地下室；地窖,,0,0,1
652,basic,英:/ˈbeɪsɪk/ 美:/ˈbeɪsɪk/,adj. 基本的；基础的 n. 基础；要素,,0,0,1
653,basically,英:/ˈbeɪsɪkli/ 美:/ˈbeɪsɪkli/,"adv. 基本上, 根本上, 本质上",,0,0,1
654,basin,英:/ˈbeɪsn/ 美:/ˈbeɪsn/,n. 盆地；盆；水池；流域,,0,0,1
655,basis,英:/ˈbeɪsɪs/ 美:/ˈbeɪsɪs/,n. 底部；基础；主要成分；基本原则或原理,,0,0,1
656,bask,英:/bɑːsk/ 美:/bæsk/,vi. 晒太阳；取暖；愉快或舒适 vt. [古]使…晒太阳；使暖和而舒适,,0,0,1
657,basket,英:/'bɑːskɪt/ 美:/'bæskɪt/,n. 篮子；（篮球比赛的）得分；一篮之量；篮筐 vt. 装入篮,,0,0,1
658,basketball,英:/'bɑːskɪtbɔːl/ 美:/'bæskɪtbɔl/,n. 篮球(运动) 篮球,,0,0,1
659,bat,英:/bæt/ 美:/bæt/,n. 蝙蝠；球棒；批处理文件的扩展名 vt. 用球棒击球；击球率达…,,0,0,1
660,bath,英:/bɑːθ/ 美:/bæθ/,n. 浴室；沐浴；浴盆 vt. 洗澡,,0,0,1
661,bathe,英:/beɪð/ 美:/beɪð/,vt. 沐浴；用水洗 vi. 洗澡；沐浴,,1,1,1
662,bathroom,英:/ˈbɑːθruːm/ 美:/ˈbæθruːm/,n. 浴室；厕所；盥洗室,,0,0,1
663,batter,英:/ˈbætə(r)/ 美:/ˈbætər/,n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜 vt. 猛击；打坏；使向上倾斜,,0,0,1
664,battery,英:/ˈbætri/ 美:/ˈbætəri/,n. 电池，蓄电池,,0,0,1
665,battle,英:/ˈbætl/ 美:/ˈbætl/,n. 战役；斗争 vi. 作战；斗争,,0,0,1
666,bay,英:/beɪ/ 美:/beɪ/,n. 海湾；狗吠声 vt. 向…吠叫,,0,0,1
